0 0 0.0276618
1 0 0.0554688
2 0 0.0818471
3 0 0.103601
4 0 0.11705
5 0 0.119041
6 0 0.107544
7 0 0.0821316
8 0 0.044679
0 1 0.0554688
1 1 0.111316
2 1 0.164376
3 1 0.208183
4 1 0.235308
5 1 0.239399
6 1 0.21636
7 1 0.165305
8 1 0.0899594
0 2 0.0818471
1 2 0.164376
2 2 0.242909
3 2 0.307824
4 2 0.348081
5 2 0.354265
6 2 0.320297
7 2 0.244817
8 2 0.133279
0 3 0.103601
1 3 0.208183
2 3 0.307824
3 3 0.390262
4 3 0.441452
5 3 0.449429
6 3 0.40646
7 3 0.310774
8 3 0.169231
0 4 0.11705
1 4 0.235308
2 4 0.348081
3 4 0.441452
4 4 0.499488
5 4 0.50863
6 4 0.460107
7 4 0.351875
8 4 0.19165
0 5 0.119041
1 5 0.239399
2 5 0.354265
3 5 0.449429
4 5 0.50863
5 5 0.518043
6 5 0.468716
7 5 0.358532
8 5 0.195309
0 6 0.107544
1 6 0.21636
2 6 0.320297
3 6 0.40646
4 6 0.460107
5 6 0.468716
6 6 0.424172
7 6 0.324529
8 6 0.176818
0 7 0.0821316
1 7 0.165305
2 7 0.244817
3 7 0.310774
4 7 0.351875
5 7 0.358532
6 7 0.324528
7 7 0.248349
8 7 0.135339
0 8 0.044679
1 8 0.0899594
2 8 0.133279
3 8 0.169231
4 8 0.19165
5 8 0.195309
6 8 0.176818
7 8 0.135339
8 8 0.0737674
